款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
14320912,1,OCT,金葱银斜纹防辐射上衣,1216,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,主：55.6%锦纶镀银丝44.4%涤纶 配：40%涤40%棉20%金银丝
14458216,1,OCT,银针织吊带款防辐射,1217,14中灰,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1380,"100%锦纶（含银离子）
含银量：18.5g/㎡"
14458216,1,OCT,银针织吊带款防辐射,1217,14中灰,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1380,"100%锦纶（含银离子）
含银量：18.5g/㎡"
14458216,1,OCT,银针织吊带款防辐射,1217,14中灰,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1380,"100%锦纶（含银离子）
含银量：18.5g/㎡"
14458216,1,OCT,银针织吊带款防辐射,1217,14中灰,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1380,"100%锦纶（含银离子）
含银量：18.5g/㎡"
15120901,1,OCT,领口贴花银针织背心,1218,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,主：100%锦纶含银离子 配：100%涤纶
15120901,1,OCT,领口贴花银针织背心,1218,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,主：100%锦纶含银离子 配：100%涤纶
15120901,1,OCT,领口贴花银针织背心,1218,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,主：100%锦纶含银离子 配：100%涤纶
15120910,1,OCT,网布拼银针织背心,1219,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1680,主：100%锦纶含银离子 配：100%涤纶
15120910,1,OCT,网布拼银针织背心,1219,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1680,主：100%锦纶含银离子 配：100%涤纶
